('Total Revenue', 'Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         834135 function calls (809540 primitive calls) in 2.411 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.010    0.010 ssl.py:1(<module>)
       38    0.000    0.000    0.000    0.000 response.py:1162(_update_chunk_length)
      201    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
      270    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      245    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
       57    0.000    0.000    0.000    0.000 _compiler.py:407(_generate_overlap_table)
       62    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
        2    0.000    0.000    0.000    0.000 cookiejar.py:466(parse_ns_headers)
        6    0.000    0.000    0.000    0.000 url.py:227(_encode_invalid_chars)
        7    0.000    0.000    0.004    0.001 typing.py:2761(_make_nmtuple)
        2    0.000    0.000    0.005    0.002 request.py:1(<module>)
      296    0.000    0.000    0.000    0.000 typing.py:1565(__eq__)
      354    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
      201    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
      225    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.229    0.229 element.py:1(<module>)
      7/1    0.000    0.000    0.000    0.000 functools.py:687(_c3_mro)
  137/119    0.000    0.000    0.000    0.000 typing.py:1258(__hash__)
      426    0.000    0.000    0.000    0.000 typing.py:1246(<genexpr>)
       59    0.000    0.000    0.003    0.000 _htmlparser.py:127(handle_startendtag)
       50    0.000    0.000    0.000    0.000 ipaddress.py:1920(__init__)
        1    0.000    0.000    0.000    0.000 ssl.py:1309(_real_close)
      484    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
      310    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
        5    0.000    0.000    0.001    0.000 feedparser.py:216(_parsegen)
       21    0.000    0.000    0.001    0.000 ipaddress.py:1502(__init__)
        6    0.000    0.000    0.000    0.000 filter.py:379(__init__)
       55    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
      618    0.000    0.000    0.000    0.000 ssl.py:1083(_checkClosed)
        2    0.000    0.000    0.028    0.014 connection.py:1(<module>)
       34    0.000    0.000    0.000    0.000 feedparser.py:77(readline)
      131    0.000    0.000    0.001    0.000 typing.py:1454(<genexpr>)
       55    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
        2    0.000    0.000    0.003    0.002 models.py:1(<module>)
        1    0.000    0.000    0.003    0.003 pathlib.py:1(<module>)
